Region,Number of Families (In thousands),Total Income (In millions),Average Income (In thousands),Expenditure Total (In millions),Expenditure Average (In thousands)
National Capital Region (NCR)," 3,318 "," 1,527,770 ", 460 ," 1,223,445 ", 369 
Cordillera Administrative Region (CAR), 422 ," 149,519 ", 354 ," 97,290 ", 230 
Region I (Ilocos Region)," 1,213 "," 348,097 ", 287 ," 248,059 ", 205 
Region II (Cagayan Valley), 853 ," 225,945 ", 265 ," 148,503 ", 174 
Region III (Central Luzon)," 2,783 "," 929,598 ", 334 ," 752,116 ", 270 
Region IV-A (CALABARZON)," 3,760 "," 1,444,429 ", 384 ," 1,145,420 ", 305 
MIMAROPA Region, 737 ," 189,684 ", 257 ," 128,792 ", 175 
Region V (Bicol Region)," 1,280 "," 300,778 ", 235 ," 247,626 ", 193 
Region VI (Western Visayas)," 1,832 "," 486,534 ", 266 ," 370,758 ", 202 
Region VII (Central Visayas)," 1,839 "," 566,572 ", 308 ," 375,362 ", 204 
Region VIII (Eastern Visayas)," 1,059 "," 239,889 ", 227 ," 189,091 ", 179 
Region IX (Zamboanga Peninsula), 839 ," 191,059 ", 228 ," 136,256 ", 162 
Region X (Northern Mindanao)," 1,120 "," 280,508 ", 250 ," 195,666 ", 175 
Region XI (Davao Region)," 1,284 "," 344,108 ", 268 ," 243,347 ", 189 
Region XII (SOCCSKSARGEN)," 1,131 "," 273,827 ", 242 ," 205,013 ", 181 
Region XIII (Caraga), 619 ," 150,299 ", 243 ," 115,659 ", 187 
Autonomous Region in Muslim Mindanao (ARMM), 657 ," 105,870 ", 161 ," 83,284 ", 127 
